식품명,식품대분류명,영양성분함량기준량,에너지(kcal)
토스트(식빵),빵 및 과자류,100ml,84
트위스터 샌드위치,빵 및 과자류,100ml,56
파운드케이크,빵 및 과자류,100ml,226
햄샌드위치,빵 및 과자류,100ml,185
간자장,면 및 만두류,100ml,155
간자장_해물,면 및 만두류,100ml,151
국수,면 및 만두류,100ml,56
국수_열무김치,면 및 만두류,100ml,59
냉면_물냉면,면 및 만두류,100ml,96
떡국_굴,면 및 만두류,100ml,90
떡국_달걀,면 및 만두류,100ml,85
떡국_소고기_달걀,면 및 만두류,100ml,87
떡국_모듬,면 및 만두류,100ml,86
떡만두국_고기만두,면 및 만두류,100ml,90
떡만두국_김치만두,면 및 만두류,100ml,87
라면,면 및 만두류,100ml,79
라면_김치,면 및 만두류,100ml,85
라면_달걀,면 및 만두류,100ml,95
오징어 덮밥_채소,밥류,100ml,91
옥수수밥,밥류,100ml,113
완두콩밥,밥류,100ml,114
유부 초밥,밥류,100ml,199
육회비빔밥,밥류,100ml,115
장어 덮밥,밥류,100ml,95
장어 초밥,밥류,100ml,95
팥밥,밥류,100ml,140
해물 덮밥,밥류,100ml,78
혼합잡곡밥,밥류,100ml,118
계란빵,빵 및 과자류,100ml,158
츄러스,빵 및 과자류,100ml,185
피자,빵 및 과자류,100ml,153
햄버거_돼지고기,빵 및 과자류,100ml,204
햄버거_치킨,빵 및 과자류,100ml,123
호떡,빵 및 과자류,100ml,147
감자샐러드 샌드위치,빵 및 과자류,100ml,108
소고기 샌드위치,빵 및 과자류,100ml,203
메기 매운탕,찌개 및 전골류,100ml,59
회덮밥_참치,밥류,100ml,108
흑미밥,밥류,100ml,120
강낭콩밥,밥류,100ml,111
검정콩밥,밥류,100ml,136
굴 국밥,밥류,100ml,63
굴밥,밥류,100ml,122
김치 볶음밥_모듬,밥류,100ml,130
낙지 덮밥,밥류,100ml,92
낙지 비빔밥,밥류,100ml,88
닭고기 덮밥,밥류,100ml,89
돼지머리국밥,밥류,100ml,72
모듬 김밥,밥류,100ml,113
모듬 초밥,밥류,100ml,189
무밥,밥류,100ml,177
버섯 덮밥,밥류,100ml,101
비빔 잡곡밥,밥류,100ml,138
소고기 국밥,밥류,100ml,66
양송이 덮밥,밥류,100ml,93
열무 비빔밥,밥류,100ml,84
잡곡밥_현미,밥류,100ml,132
잡채밥,밥류,100ml,113
잡탕밥,밥류,100ml,115
주먹밥,밥류,100ml,135
주먹밥_배추김치,밥류,100ml,106
주먹밥_참치,밥류,100ml,131
짜장밥,밥류,100ml,93
짬뽕밥,밥류,100ml,48
차조밥,밥류,100ml,120
참치덮밥,밥류,100ml,108
참치회덮밥_양념장,밥류,100ml,76
충무김밥,밥류,100ml,128
카레라이스_돼지고기,밥류,100ml,90
카레라이스_소고기,밥류,100ml,113
카레라이스_채소,밥류,100ml,95
콩나물 국밥,밥류,100ml,60
콩나물 국밥,밥류,100ml,59
콩나물밥_돼지고기,밥류,100ml,91
현미밥,밥류,100ml,120
볶음밥_참치,밥류,100ml,120
볶음밥_채소,밥류,100ml,115
볶음밥_해물,밥류,100ml,106
볶음밥_맛살,밥류,100ml,134
비빔밥,밥류,100ml,133
비빔밥_묵_양념장,밥류,100ml,96
비빔밥_참치_양념장,밥류,100ml,100
삼각김밥,밥류,100ml,185
수수밥,밥류,100ml,122
알밥,밥류,100ml,86
영양돌솥밥,밥류,100ml,119
오곡밥,밥류,100ml,144
오므라이스,밥류,100ml,117
우럭회덮밥_양념장,밥류,100ml,67
율무밥,밥류,100ml,118
잡곡밥,밥류,100ml,131
잡곡밥_보리,밥류,100ml,137
잡곡밥_보리_흑미,밥류,100ml,135
잡곡밥_서리태,밥류,100ml,134
김밥_참치,밥류,100ml,128
김밥_참치_고추,밥류,100ml,119
김밥_참치_김치,밥류,100ml,125
김밥_채소,밥류,100ml,102
김밥_치즈,밥류,100ml,122
김밥_고추,밥류,100ml,94
김밥_샐러리,밥류,100ml,130
넙치(광어)회덮밥_양념장,밥류,100ml,77
누룽지,밥류,100ml,87
돌솥 비빔밥,밥류,100ml,101
